tweet_id, tweet_time, tweet_author, tweet_author_id, tweet_language, tweet_lon, tweet_lat, tweet_text, tweet_url,label
'451285332026486785',Wed Apr 02 09:09:42 +0000 2014,cris_delacoste,990155738,es,NA,NA,#FuerzaChile,https://twitter.com/cris_delacoste/status/451285332026486785,"Personal updates, sympathy, support"
'451285420546867200',Wed Apr 02 09:10:03 +0000 2014,AguilaImperial3,709087488,es,NA,NA,Presidenta Bachelet decretÃ_ zona de catÃ¡strofe en las regiones de Arica y Parinacota y TarapacÃ¡. http://t.co/hL68c8vhhx,https://twitter.com/AguilaImperial3/status/451285420546867200,Other useful information
'451285544094687233',Wed Apr 02 09:10:32 +0000 2014,ssferre,163816805,es,NA,NA,"Terremoto de 8,2 de magnitud en #Chile http://t.co/XCENeePUVe",https://twitter.com/ssferre/status/451285544094687233,Other useful information
'451285651724304387',Wed Apr 02 09:10:58 +0000 2014,Bonitillo_02RD,1677118280,es,NA,NA,( +1 849-846-0679 ) Cancelada la alerta de tsunami para Chile y PerÃº:  10.45: Chile reduce la alarma de tsunami a s...  ( #Bonii_Freshz ),https://twitter.com/Bonitillo_02RD/status/451285651724304387,Caution and advice
'451285837142315008',Wed Apr 02 09:11:42 +0000 2014,FuckMica_,93431857,es,NA,NA,Chile ha sufrido mÃ¡s de 70 terremotos de consideraciÃ_n desde principios del siglo XX: Chile vive de terremoto ... http://t.co/ngIa6DNl1K,https://twitter.com/FuckMica_/status/451285837142315008,Other useful information
'451285889818189824',Wed Apr 02 09:11:55 +0000 2014,MERLITOS11,184695444,es,NA,NA,#Chile #FuerzaChile http://t.co/dSf3UbdKK0,https://twitter.com/MERLITOS11/status/451285889818189824,"Personal updates, sympathy, support"
'451285921401700352',Wed Apr 02 09:12:02 +0000 2014,LoMasTrendyEs,1328154644,es,NA,NA,HOT HT en este instante #FuerzaChile #chile #RIPFloyd #AbrilConADe #MÃ¡sIgnoranteQueLucero #MuerteAChilenos pwrd by http://t.co/hM9GUr15xN,https://twitter.com/LoMasTrendyEs/status/451285921401700352,"Personal updates, sympathy, support"
'451285947850579968',Wed Apr 02 09:12:09 +0000 2014,Doctor503,707551074,es,NA,NA,Fuerza hermanos #Chile,https://twitter.com/Doctor503/status/451285947850579968,"Personal updates, sympathy, support"
'451286928626032640',Wed Apr 02 09:16:02 +0000 2014,sonrieconmigo,51424017,es,NA,NA,Fund @SonrieConmigo Atendera y operara desde #PERU #ARGENTINA #CHILE #UK http://t.co/H3ScdfdAEf tlf:58 (0212) 720-2538 @olarte293,https://twitter.com/sonrieconmigo/status/451286928626032640,Other useful information
'451286985936621570',Wed Apr 02 09:16:16 +0000 2014,ElGabriel04,1971981997,es,NA,NA,"Chile ha sufrido mÃ¡s de 70 terremotos de consideraciÃ_n desde principios del siglo XX: Chile vive de terremoto en terremoto, como una ...",https://twitter.com/ElGabriel04/status/451286985936621570,Other useful information
'451287516973641729',Wed Apr 02 09:18:23 +0000 2014,SantiStoryBoard,2422666182,es,NA,NA,#YoTambien Le deseo #FuerzaChile,https://twitter.com/SantiStoryBoard/status/451287516973641729,"Personal updates, sympathy, support"
'451287547667173376',Wed Apr 02 09:18:30 +0000 2014,elsiricato16,173936618,es,NA,NA,Cinco muertos deja terremoto en norte de Chile: ministro del Interior http://t.co/rzXP6zSNlx #noticias vÃ_a @webnotitarde,https://twitter.com/elsiricato16/status/451287547667173376,Injured and dead
