tweet_id, tweet_time, tweet_author, tweet_author_id, tweet_language, tweet_lon, tweet_lat, tweet_text, tweet_url,label
'460397492329521152',Sun Apr 27 12:38:10 +0000 2014,gccPoliitics,967533216,en,NA,NA,"Health Saudi Arabia denies injuring a number of students from the University of Princess Nora "" Corona virus"" #Saudi #news #qatif #KSA",https://twitter.com/gccPoliitics/status/460397492329521152,Not related to crisis
'460398364228874240',Sun Apr 27 12:41:38 +0000 2014,Marinamas,22005584,en,NA,NA,"""@AlArabiya_Eng: Two #Saudis die of #MERS virus as toll nears 100 http://t.co/C6YyREFETl""",https://twitter.com/Marinamas/status/460398364228874240,Informative
'460398400970575872',Sun Apr 27 12:41:47 +0000 2014,Fla_Medic,18868457,en,NA,NA,AFD blog `#Egypt Ramps Up #MERS #Surveillance At Local Ports'  http://t.co/cKyrnr29Yo,https://twitter.com/Fla_Medic/status/460398400970575872,Informative
'460398461972541440',Sun Apr 27 12:42:01 +0000 2014,ventorvalerie,106372154,en,NA,NA,@gelamads @SammmyOh I think ate tam can't say no 'cos she's scared that you might give her the mers-cov virus. hahahhahaha kdding! á_ 6,https://twitter.com/ventorvalerie/status/460398461972541440,Personal only
'460398555329331200',Sun Apr 27 12:42:24 +0000 2014,rajagashe,57388123,en,NA,NA,"""@WHO: Middle East respiratory syndrome virus incubation period is between 2 and 14 days #MERS""",https://twitter.com/rajagashe/status/460398555329331200,Informative
'460399646729601024',Sun Apr 27 12:46:44 +0000 2014,gc_narayan,1389858895,en,NA,NA,"Scary  time friends, MERS (Middle East Respiratory Syndrome) took  more lives we all must need to be careful friends....!!!",https://twitter.com/gc_narayan/status/460399646729601024,Informative
'460400130273730561',Sun Apr 27 12:48:39 +0000 2014,Swa7227,268546005,en,NA,NA,#mers come from guys having sex with animals after sex with gay devil he control guys mind 2 http://t.co/Sdr2rCfr7x. http://t.co/rBqRjJdIfq,https://twitter.com/Swa7227/status/460400130273730561,Not related to crisis
'460403550799945728',Sun Apr 27 13:02:15 +0000 2014,marla_arreza,73647042,en,126.2001294,9.0777121,No UAE trip because of MERS-COV. Timing ba.,https://twitter.com/marla_arreza/status/460403550799945728,Personal only
'460404012022771713',Sun Apr 27 13:04:05 +0000 2014,TvideoNet,2380602060,en,NA,NA,Deadly MiddleÂ EastÂ RespiratoryÂ Syndrome spreads to Egypt - Deadly MiddleÂ EastÂ RespiratoryÂ Syndrome spreads... http://t.co/5cseZwu3zA,https://twitter.com/TvideoNet/status/460404012022771713,Informative
'460404886882885632',Sun Apr 27 13:07:33 +0000 2014,143SkinnyBunny,204791123,en,NA,NA,FAST FACTS: The MERS Coronavirus http://t.co/26wl3WfzJs,https://twitter.com/143SkinnyBunny/status/460404886882885632,Informative
'460405480834080769',Sun Apr 27 13:09:55 +0000 2014,sineumann1,423410440,en,NA,NA,Egypt discovers first case of sars-like coronavirus: state TV | Egypt Independent http://t.co/sDQYoO5uQt via @egyindependent,https://twitter.com/sineumann1/status/460405480834080769,Informative
'460406831647850496',Sun Apr 27 13:15:17 +0000 2014,ronjul1999,421804567,en,46.6760927,24.6723459,reading these 11 pages #mers-cov ippîê™ http://t.co/ZcDSbWCjOX,https://twitter.com/ronjul1999/status/460406831647850496,Informative
'460406930742063107',Sun Apr 27 13:15:40 +0000 2014,PressTV,192547775,en,NA,NA,#MERS death toll hits 94 in #SaudiArabia http://t.co/9J6O93tHyJ #health,https://twitter.com/PressTV/status/460406930742063107,Informative
'460408961028456448',Sun Apr 27 13:23:44 +0000 2014,gmggranger,278284775,en,NA,NA,@FluTrackers #MERS case no. #371 might need to be corrected for onset 19 Apr 2014 (via MoH update). Always happy to clarify (or be wrong),https://twitter.com/gmggranger/status/460408961028456448,Informative
'460409457361428481',Sun Apr 27 13:25:43 +0000 2014,iiSherry,32952496,en,NA,NA,WHO | Middle East respiratory syndrome coronavirus (MERS-CoV) â€“ update http://t.co/e5jHesmdiz,https://twitter.com/iiSherry/status/460409457361428481,Informative
