tweet_id, tweet_time, tweet_author, tweet_author_id, tweet_language, tweet_lon, tweet_lat, tweet_text, tweet_url,label
'577343139096170496',Mon Mar 16 05:38:25 +0000 2015,diogenremi,3037121941,fr,NA,NA,2005 CHEVY AVALANCHE  3RD STOP LAMP http://t.co/PLVtnZtQgT http://t.co/RFBE4tPUVE,https://twitter.com/diogenremi/status/577343139096170496,Not physical landslide
'577352932670070785',Mon Mar 16 06:17:20 +0000 2015,ErikJohnsonNews,2305637767,fr,NA,NA,"Avalanche 3, Flames 2 http://t.co/FtBRniCS0F",https://twitter.com/ErikJohnsonNews/status/577352932670070785,Not physical landslide
'577356625696198656',Mon Mar 16 06:32:00 +0000 2015,apatab,496442030,fr,NA,NA,Hercules Avalanche X-Treme Passenger 205/75 R14 95S http://t.co/sKG2rFuN9t #Hercules,https://twitter.com/apatab/status/577356625696198656,Not physical landslide
'577371632936812545',Mon Mar 16 07:31:38 +0000 2015,NicolasBideau,370594104,fr,NA,NA,Championnats suisses de chiens d'avalanche: mÃ©daille d'or pour Janus! #tradition #Switzerland http://t.co/I8mdXxYZzh http://t.co/Adt4QlLab1,https://twitter.com/NicolasBideau/status/577371632936812545,Physical landslide
'577379395654008834',Mon Mar 16 08:02:29 +0000 2015,NSDRadio,2573534257,fr,NA,NA,"Salut tout le monde, bon dÃ©but de semaine ! Un cafÃ© et pour vous accompagner, une belle avalanche de #hits &gt;&gt; http://t.co/jp9uVSE7rX #FM #RT",https://twitter.com/NSDRadio/status/577379395654008834,Not physical landslide
'577380840180723712',Mon Mar 16 08:08:14 +0000 2015,LyneBorder,1355015750,fr,NA,NA,Donc un chien du plat pays (berger belge) s illustre dans le championnat des chiens d avalanche Bon,https://twitter.com/LyneBorder/status/577380840180723712,Physical landslide
'577388756946255872',Mon Mar 16 08:39:41 +0000 2015,MIX_1015_ONAIR,2927294212,fr,NA,NA,Brielle - Avalanche http://t.co/ohqTCezaxo #mix1015fm,https://twitter.com/MIX_1015_ONAIR/status/577388756946255872,Not physical landslide
'577403817978789889',Mon Mar 16 09:39:32 +0000 2015,movievideo1,2816846208,fr,NA,NA,"#HiCrush #TheDress #KCA #gameinsight #RT #FOLLOW #vote5sos Avalanche en Valais: Ã‚Â«La haute montagne, Ã§a peut http://t.co/HSRPr82WyH",https://twitter.com/movievideo1/status/577403817978789889,Not physical landslide
'577417806507032577',Mon Mar 16 10:35:07 +0000 2015,Alcofribas_GP,869377879,fr,NA,NA,BrÃ©sil: au moins 42 morts aprÃ¨s la chute d'un car dans un prÃ©cipice - L'Express http://t.co/vgE4AmRE9Y via @Lexpress,https://twitter.com/Alcofribas_GP/status/577417806507032577,Not physical landslide
'577419801297055744',Mon Mar 16 10:43:03 +0000 2015,QruuSh,1552673628,fr,NA,NA,Croyez pas chui un lapin ne de la derniÃ¨re avalanche,https://twitter.com/QruuSh/status/577419801297055744,Not physical landslide
'577420427691175936',Mon Mar 16 10:45:32 +0000 2015,2lives_fr,2296185775,fr,NA,NA,Avalanche de concours avec #2lives https://t.co/Yz4dN6oZ0D,https://twitter.com/2lives_fr/status/577420427691175936,Not physical landslide
'577421595565764608',Mon Mar 16 10:50:11 +0000 2015,Nicolas_PAZZANO,3049159616,fr,NA,NA,Je viens dâ€™accomplir le haut fait [La chute dâ€™Aile de mort]Â ! #Warcraft http://t.co/lAYvXlttK3,https://twitter.com/Nicolas_PAZZANO/status/577421595565764608,Not physical landslide
'577422227836137472',Mon Mar 16 10:52:41 +0000 2015,catnatnet,38678996,fr,NA,NA,Glissement de terrain dans l'Etat de Virginie Occidentale (USA) http://t.co/AkQrbqAtEi,https://twitter.com/catnatnet/status/577422227836137472,Physical landslide
'577423071650414592',Mon Mar 16 10:56:02 +0000 2015,ConsoAlerte,1310457068,fr,NA,NA,Airbag d'avalanche Mammut/Snowpulse Les personnes qui seraient en possession de cet airbag http://t.co/qGC3uuBa3q,https://twitter.com/ConsoAlerte/status/577423071650414592,Not physical landslide
'577424235674480640',Mon Mar 16 11:00:40 +0000 2015,TicketChatterCO,2191183904,fr,NA,NA,#Denver: Colorado Avalanche vs. Winnipeg Jets at Pepsi Center - Denver - Apr  09 Ticket Info: http://t.co/uXtooq8j0A,https://twitter.com/TicketChatterCO/status/577424235674480640,Not physical landslide
